id,title,text
1,Oshkosh Public Museum,"The Oshkosh Public Museum is museum located in Oshkosh, Wisconsin, United States. It is housed in the Edgar and Mary Jewell Sawyer House, which is part of the Algoma Boulevard Historic District, and listed on the National Register of Historic Places."
2,Athanasius of Alexandria,"However Cornelius Clifford places his birth no earlier than 296 and no later than 298, based on the fact that Athanasius indicates no first hand recollection of the Maximian persecution of 303, which he suggests Athanasius would have remembered if he had been ten years old at the time. Secondly, the Festal Epistles state that the Arians had accused Athanasius, among other charges, of not having yet attained the canonical age (30) and thus could not have been properly ordained as Patriarch of Alexandria in 328. The accusation must have seemed plausible. The Orthodox Church places his year of birth around 297."
3,Niels Henrik Abel,"Niels Henrik Abel was born in Nedstrand, Norway, as the second child of the pastor Søren Georg Abel and Anne Marie Simonsen. When Niels Henrik Abel was born, the family was living at a rectory on Finnøy. Much suggests that Niels Henrik was born in the neighboring parish, as his parents were guests of the bailiff in Nedstrand in July / August of his year of birth."
4,Peggy Olson,"At the end of Season 1, which takes place just before Thanksgiving 1960, Peggy is promoted to Junior Copywriter, heading up the new Clearasil account. Just after receiving the promotion, Peggy begins experiencing severe abdominal pain; she attributes it to a ``bad sandwich ''from the office cart and heads to St. Mary's Hospital in Brooklyn. She is shocked and in denial when informed she's actually in labor. As she gets up to leave, she collapses, and the hospital staff moves her into a hospital room in labor and delivery. She gives birth to a healthy baby boy, whom she refuses to hold or look at."
5,Sisters of St Joseph of Nazareth,"The Sisters of Saint Joseph of Nazareth, also called simply the Sisters of St Joseph or Josephites (""Black Josephites""), are a religious congregation who have their main centre in Whanganui, New Zealand. The congregation was a member of the Federation of the Sisters of St. Joseph which disbanded in 2013. The Sisters of St Joseph Whanganui received the Decree of Fusion with the Sisters of St Joseph of the Sacred Heart on 22 February 2013."
6,"Mary, mother of Jesus","The Protoevangelium of James, an extra-canonical book, has been the source of many Orthodox beliefs on Mary. The account of Mary's life presented includes her consecration as a virgin at the temple at age three. The High Priest Zachariah blessed Mary and informed her that God had magnified her name among many generations. Zachariah placed Mary on the third step of the altar, whereby God gave her grace. While in the temple, Mary was miraculously fed by an angel, until she was twelve years old. At that point an angel told Zachariah to betroth Mary to a widower in Israel, who would be indicated. This story provides the theme of many hymns for the Feast of Presentation of Mary, and icons of the feast depict the story. The Orthodox believe that Mary was instrumental in the growth of Christianity during the life of Jesus, and after his Crucifixion, and Orthodox Theologian Sergei Bulgakov wrote: ""The Virgin Mary is the center, invisible, but real, of the Apostolic Church."""
7,"Mary, mother of Jesus","In the 19th century, a house near Ephesus in Turkey was found, based on the visions of Anne Catherine Emmerich, an Augustinian nun in Germany. It has since been visited as the House of the Virgin Mary by Roman Catholic pilgrims who consider it the place where Mary lived until her assumption. The Gospel of John states that Mary went to live with the Disciple whom Jesus loved,[Jn 19:27] identified as John the Evangelist.[citation needed] Irenaeus and Eusebius of Caesarea wrote in their histories that John later went to Ephesus, which may provide the basis for the early belief that Mary also lived in Ephesus with John."
8,A Prisoner of Birth,"A Prisoner of Birth is a mystery novel by English author Jeffrey Archer, first published on 6 March 2008 by Macmillan. This book is a contemporary retelling of Dumas's ""The Count of Monte Cristo"". The novel saw Archer return to the first place in the fiction best-seller list for the first time in a decade."
9,Rebecca and Eliezer at the Well,"Rebecca and Eliezer at the Well is an oil painting by Italian artist Carlo Maratta, located in the Indianapolis Museum of Art, which is in Indianapolis, Indiana. It shows the story of Abraham's servant Eliezer giving Rebecca jewels to seal her betrothal to Isaac, after she had demonstrated the kindness foreseen by Abraham in offering water to Eliezer's camels (Gen. 24:11-20)."
10,Constance Marie,"Constance Marie Lopez (born September 9, 1965) known professionally as Constance Marie, is an American actress. She is known for her role as Angie Lopez in George Lopez (2002 -- 2007) and her role as Marcela Quintanilla (mother of Selena) in the 1997 film Selena. She portrayed Regina Vasquez in the ABC Family / Freeform drama series Switched at Birth (2011 -- 2017)."
